player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Isaiah Irving,12171,ED,CHI,6,0,0,6,64.2,0,2,29,69.8,13.8,4,1,3.4,0,43,30,2,0,72.2,0,1,9,76.9,22.2,2,5.6,0,13,10,1
Adam Butler,12214,DI,NE,9,3,0,19,61.6,0,11,186,99.0,10.8,20,1,6.2,6,205,203,17,2,62.2,0,8,103,100.0,13.6,14,9.7,6,112,112,14
Devaroe Lawrence,12222,DI,CLV,9,0,0,8,56.5,2,1,86,96.9,3.5,3,3,1.7,0,97,94,3,0,52.8,0,1,30,97.1,0.0,0,1.7,0,35,34,1
Arthur Maulet,12224,CB,NYJ,4,0,0,22,60.0,0,0,0,1.7,,0,0,,0,59,1,0,0,,0,0,0,0.0,,0,,0,32,0,0
Fadol Brown,12246,DI,GB,3,0,0,12,61.3,0,0,8,100.0,12.5,1,0,0.0,0,8,8,0,0,61.8,0,0,7,100.0,14.3,1,0.0,0,7,7,0
Jamal Perry,12259,CB,MIA,8,0,0,17,58.9,0,0,6,3.0,16.7,1,2,0.0,0,198,6,0,0,67.6,0,0,2,2.8,50.0,1,0.0,0,71,2,0
Sione Takitaki,12666,LB,CLV,1,0,0,8,59.1,0,0,1,14.3,0.0,0,0,0.0,0,7,1,0,0,59.1,0,0,1,25.0,0.0,0,0.0,0,4,1,0
Darrel Williams,13014,HB,KC,1,0,0,16,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Alexander Johnson,15267,LB,DEN,5,1,0,10,67.3,1,3,44,25.5,18.2,8,1,9.1,2,196,50,6,1,67.0,1,2,26,34.1,19.2,5,13.5,2,88,30,5
Sam Eguavoen,15301,LB,MIA,9,0,0,17,49.9,3,7,112,52.9,5.4,6,0,6.3,2,227,120,12,0,54.8,3,6,66,78.0,6.1,4,6.8,0,91,71,9
Jonathan Ledbetter,18645,ED,MIA,1,0,0,17,68.7,0,1,13,100.0,15.4,2,0,11.5,1,13,13,2,0,56.3,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Kemoko Turay,21702,ED,IND,4,0,0,14,91.0,4,8,61,95.8,26.2,16,1,13.1,2,72,69,14,0,92.3,3,5,37,100.0,32.4,12,16.2,2,44,44,10
Scott Quessenberry,23918,C,LAC,1,0,0,27,60.0,0,0,1,100.0,0.0,0,1,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Dylan Cole,24304,LB,HST,9,0,0,13,70.3,0,2,9,12.1,22.2,2,1,11.1,0,91,11,2,0,59.2,0,2,6,11.1,16.7,1,16.7,0,63,7,2
Nathan Shepherd,24614,DI,NYJ,2,0,0,22,62.3,0,0,27,100.0,3.7,1,0,3.7,1,32,32,1,0,57.1,0,0,14,100.0,7.1,1,7.1,1,16,16,1
Raven Greene,24750,S,GB,2,0,0,12,62.1,0,1,7,12.3,14.3,1,0,7.1,0,57,7,1,0,62.3,0,1,6,19.4,16.7,1,8.3,0,31,6,1
Foyesade Oluokun,24904,LB,ATL,9,0,0,2,73.1,0,0,6,13.0,0.0,0,1,0.0,0,69,9,0,0,80.4,0,0,2,15.4,0.0,0,0.0,0,26,4,0
Deionte Thompson,25444,S,ARZ,7,0,0,1,65.3,1,0,4,2.4,0.0,0,2,12.5,0,167,4,1,0,66.6,1,0,1,1.3,0.0,0,50.0,0,77,1,1
Levi Wallace,25445,CB,BUF,9,0,0,4,59.0,0,0,1,0.3,0.0,0,0,0.0,0,351,1,0,0,,0,0,0,0.0,,0,,0,140,0,0
Dane Cruikshank,25546,S,TEN,2,0,0,31,60.0,0,0,1,33.3,0.0,0,0,0.0,0,3,1,0,0,,0,0,0,,,0,,0,0,0,0
Sean Murphy-Bunting,25891,CB,TB,7,0,0,30,60.0,0,0,1,0.5,0.0,0,2,0.0,0,201,1,0,0,60.0,0,0,1,1.0,0.0,0,0.0,0,104,1,0
Clelin Ferrell,25955,ED,OAK,8,4,0,23,57.6,1,14,210,96.3,7.1,15,6,5.5,4,241,232,19,1,57.9,0,9,87,97.1,11.5,10,8.6,3,102,99,12
Dexter Lawrence,25991,DI,NYG,10,0,1,21,61.6,2,16,216,99.6,10.2,22,1,5.6,3,231,230,21,0,67.5,2,11,78,100.0,19.2,15,10.9,2,86,86,15
Isaiah Mack,26229,DI,TEN,10,0,0,31,66.9,0,3,76,100.0,7.9,6,0,4.6,2,83,83,5,0,66.5,0,1,26,100.0,11.5,3,9.6,2,29,29,3
Tae Davis,26296,LB,CLV,2,0,0,8,53.9,1,0,3,9.1,0.0,0,1,16.7,0,33,3,1,0,59.4,0,0,1,7.1,0.0,0,0.0,0,14,1,0
Maxx Crosby,26316,ED,OAK,9,2,0,23,59.9,4,18,233,97.0,11.2,26,5,6.0,3,267,259,25,2,65.8,4,13,121,97.8,16.5,20,9.5,3,137,134,20
Craig James,26360,CB,PHI,3,0,0,24,60.0,0,0,1,2.4,0.0,0,1,0.0,0,42,1,0,0,,0,0,0,0.0,,0,,0,17,0,0
Ben Banogu,26554,ED,IND,8,1,0,14,53.8,3,3,95,97.2,8.4,8,1,5.3,2,108,105,8,1,53.6,2,2,55,100.0,9.1,5,5.5,1,63,63,5
C.J. Moore,26617,S,DET,5,0,0,11,59.1,0,0,1,1.9,0.0,0,0,0.0,0,53,1,0,0,,0,0,0,0.0,,0,,0,26,0,0
D.J. Reed Jr.,26940,CB,SF,5,0,0,28,59.1,0,1,1,2.6,0.0,0,0,50.0,0,38,1,1,0,59.1,0,1,1,4.0,0.0,0,50.0,0,25,1,1
Siran Neal,27130,CB,BUF,5,0,0,4,50.9,0,1,7,9.0,0.0,0,0,7.1,0,78,7,1,0,56.8,0,0,1,5.3,0.0,0,0.0,0,19,1,0
Montez Sweat,27271,ED,WAS,9,1,1,32,52.7,2,9,168,86.4,7.7,13,3,5.1,3,214,185,14,0,52.2,0,5,74,93.1,12.2,9,6.1,2,87,81,7
Devin Bush,27375,LB,PIT,9,0,1,25,64.9,1,0,17,6.7,11.8,2,3,8.8,1,326,22,2,0,49.5,1,0,6,6.5,0.0,0,8.3,0,138,9,1
Armon Watts,27844,DI,MIN,1,0,0,18,69.0,0,0,3,100.0,33.3,1,0,33.3,1,3,3,1,0,70.5,0,0,2,100.0,50.0,1,50.0,1,2,2,1
