player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Josh Bellamy,7472,WR,NYJ,4,3,0,22,,0,,,0,0,,0,0,0,,54.1,0,0,0.0,0,8,0,87.5,7,0.0,0,0.0,0,0,0,,,0.0,0,8.0,0,66.7,100.0,1,1,33.3,1,1,0,29.9,52.7,0,15,0.0,0,27,2,88.9,24,85.4,3,100.0,0,20,9,4.5,10.0,0.83
J.P. Holtz,11062,TE,CHI,10,3,0,6,,0,,,0,0,,0,0,0,,49.3,0,0,41.2,7,17,0,52.9,9,0.0,0,0.0,0,0,0,,,0.0,0,1.3,0,66.7,,0,0,33.3,1,1,0,29.9,42.5,0,16,37.8,17,45,2,60.0,27,89.6,3,100.0,0,23,23,11.5,11.5,0.85
Cody Core,10833,WR,NYG,8,3,0,21,11.0,0,100.0,100.0,1,1,0.0,0,1,0,64.7,63.8,0,11,0.0,0,11,1,100.0,11,112.5,1,33.3,0,11,0,0.0,11.0,1.0,0,7.5,0,100.0,,0,0,0.0,0,1,0,68.3,58.4,0,9,0.0,0,29,2,100.0,29,102.1,2,66.7,0,17,2,1.0,8.5,0.59
T.J. Logan,11935,HB,TB,8,3,0,30,9.0,0,66.7,,0,0,0.0,0,1,0,68.3,66.7,0,11,0.0,0,5,2,100.0,5,75.7,3,100.0,0,13,9,4.5,6.5,2.6,0,,0,,,0,0,,0,0,0,,54.5,0,0,0.0,0,7,0,85.7,6,0.0,0,0.0,0,0,0,,,0.0
Johnny Mundt,12206,TE,LA,7,3,0,26,,0,,,0,0,,0,0,0,,55.3,0,0,75.0,6,8,0,25.0,2,0.0,0,0.0,0,0,0,,,0.0,0,3.7,0,33.3,,0,0,50.0,1,0,0,28.9,51.7,0,9,52.6,10,19,1,42.1,8,42.4,3,100.0,0,9,6,6.0,9.0,1.13
Pharaoh Brown,12247,TE,CLV,8,3,0,8,12.0,0,0.0,,0,0,,0,0,0,64.7,49.3,0,0,24.0,6,25,0,64.0,16,39.6,1,33.3,0,0,0,,,0.0,0,6.0,0,100.0,,0,0,0.0,0,1,0,70.5,73.8,0,18,40.0,14,35,2,51.4,18,118.8,2,66.7,0,27,15,7.5,13.5,1.5
Devontae Booker,10770,HB,DEN,5,3,0,10,,0,,,0,0,,0,0,0,,60.0,0,0,50.0,1,2,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0,0,2.3,1,33.3,,0,0,0.0,0,0,0,64.7,77.4,0,14,16.7,1,6,1,83.3,5,49.3,3,100.0,0,14,10,10.0,14.0,2.8
Fred Brown,23172,WR,DEN,7,3,0,10,15.5,0,50.0,,0,0,0.0,0,1,0,68.3,60.0,0,16,0.0,0,22,1,86.4,19,77.1,2,66.7,0,16,-1,-1.0,16.0,0.84,0,5.0,0,100.0,,0,0,0.0,0,0,0,68.3,64.0,0,5,0.0,0,16,1,81.3,13,87.5,1,33.3,0,5,0,0.0,5.0,0.38
Antony Auclair,24606,TE,TB,8,3,0,30,,0,,,0,0,,0,0,0,,44.8,0,0,50.0,11,22,0,45.5,10,0.0,0,0.0,0,0,0,,,0.0,0,1.3,0,33.3,0.0,0,2,0.0,0,1,0,64.7,54.3,0,11,45.0,18,40,1,50.0,20,45.1,3,100.0,0,11,8,8.0,11.0,0.55
Alec Ingold,34934,FB,OAK,12,3,0,23,0.0,0,100.0,,0,0,0.0,0,1,0,68.3,72.5,0,14,36.4,4,11,2,54.5,6,93.8,2,66.7,0,13,13,6.5,6.5,2.17,0,1.0,0,100.0,,0,0,0.0,0,1,0,64.7,58.4,0,9,21.7,5,23,1,78.3,18,143.8,1,33.3,1,9,8,8.0,9.0,0.5
Anthony Sherman,6288,FB,KC,8,3,0,16,-5.0,1,100.0,,0,0,0.0,0,1,0,64.7,89.3,0,15,0.0,0,2,1,100.0,2,118.8,1,33.3,0,15,20,20.0,15.0,7.5,0,5.5,0,50.0,0.0,0,1,0.0,0,1,0,64.7,60.2,0,7,25.0,3,12,1,75.0,9,58.3,2,66.7,0,7,7,7.0,7.0,0.78
Malcolm Brown,9902,HB,LA,10,3,0,26,2.0,0,0.0,,0,0,,0,0,0,,51.0,1,0,22.7,5,22,0,72.7,16,0.0,1,33.3,0,0,0,,,0.0,0,4.5,0,50.0,,0,0,50.0,1,0,0,29.9,41.7,0,10,11.6,8,69,1,78.3,54,64.6,2,66.7,0,10,4,4.0,10.0,0.19
Zach Zenner,9761,HB,ARZ,2,3,0,1,,0,,,0,0,,0,0,0,,56.3,0,0,57.1,4,7,0,42.9,3,0.0,0,0.0,0,0,0,,,0.0,0,1.0,0,50.0,,0,0,50.0,1,1,0,28.8,36.7,0,13,23.1,3,13,1,76.9,10,70.8,2,66.7,0,13,15,15.0,13.0,1.3
Andrew Beck,47121,TE,DEN,12,3,0,10,-2.0,0,100.0,,0,0,0.0,0,1,0,64.7,60.3,0,18,20.0,2,10,1,70.0,7,118.8,1,33.3,0,18,20,20.0,18.0,2.57,0,3.0,0,100.0,,0,0,0.0,0,2,0,68.3,63.7,0,11,14.6,7,48,2,83.3,40,110.4,2,66.7,0,21,15,7.5,10.5,0.53
