player_name,primary_tour,last_played,playing_this_week,last_5_finishes,trend_index,baseline_index
"Roy, Kevin",KFT,"Jun 12, 2022",web,T48 - 6 - T27 - T29 - CUT,-0.681359,0.20677702564102574
"Caron, Rowin",SAM,"Jun 12, 2022",no,T32 - 5 - CUT - T22 - T5,-0.6829669999999994,0.8350480000000013
"Luiten, Joost",EURO,"May 29, 2022",no,CUT - CUT - T36 - CUT - T43,-0.69296,0.30907301369863016
"Kim, Bio",KOR,"Jun 12, 2022",no,1 - MC - CUT - 1 - T4,-0.6957795000000007,-0.030995695652174526
"Chappell, Kevin",PGA,"Jun 12, 2022",pga,T15 - T18 - T29 - T62 - CUT,-0.6961725000000001,0.0052318137254900865
"Friedrichsen, Sebastian",NGL,"Jun 12, 2022",no,2 - T12 - T14 - T3 - 2,-0.7088779999999985,0.9642858461538476
"Springer, Hayden",SAM,"Jun 12, 2022",no,T5 - T7 - T34 - T12 - T5,-0.7238614999999987,0.7479067608695672
"Garrigus, Robert",PGA,"Jun 12, 2022",no,T36 - CUT - T42 - CUT - CUT,-0.7256524999999998,0.06945174242424257
"Zecheng, Marty Dou",KFT,"Jun 12, 2022",web,T5 - T40 - T55 - CUT - CUT,-0.7291674999999999,-0.3560395270270269
"Whitnell, Dale",EURO,"Jun 12, 2022",no,CUT - T23 - T14 - CUT - T33,-0.7339385000000014,0.37807576829268164
"Kinoshita, Ryosuke",JPN,"Jun 11, 2022",no,T32 - T5 - CUT - T21 - T13,-0.7340945000000003,0.13142337234042512
"Van Driel, Darius",EURO,"Jun 12, 2022",no,T57 - CUT - CUT - CUT - T4,-0.7379430000000003,0.49509992682926807
"McEvoy, Richard",EURO,"Jun 12, 2022",no,T63 - T37 - CUT - CUT - T37,-0.7427855000000012,0.9196166333333324
"Barjon, Paul",PGA,"Jun 12, 2022",no,CUT - T51 - T65 - CUT - T46,-0.7485585000000001,0.18729237500000007
"Kofstad, Espen",EURO,"Jun 12, 2022",no,T36 - CUT - CUT - T40 - T64,-0.7488570000000003,0.1605795909090908
"Fisher, Ross",EURO,"Jun 5, 2022",no,T15 - T42 - CUT - T51 - T29,-0.7489544999999999,-0.02438670930232545
"Bachem, Nick",CHA,"Jun 12, 2022",no,3 - T11 - T5 - CUT - CUT,-0.7489650000000007,1.239587826086955
"Villegas, Camilo",PGA,"Jun 12, 2022",no,CUT - T56 - CUT - T53 - CUT,-0.7495305,-0.008287347826086866
"Kohles, Ben",PGA,"Jun 12, 2022",no,CUT - T42 - T59 - CUT - CUT,-0.7614444999999994,-0.17793040909090851
"Lorenzo-Vera, Michael",EURO,"Jun 12, 2022",no,T59 - CUT - CUT - T40 - T13,-0.7656535000000007,0.3949928492063488
