player_name,sg_putt_pred,sg_putt_rank,sg_arg_pred,sg_arg_rank,sg_app_pred,sg_app_rank,sg_ott_pred,sg_ott_rank,sg_total_pred,sg_total_rank,distance_pred,distance_rank,accuracy_pred,accuracy_rank
"Bradley, Keegan",0.057,151,0.115,84,0.510,29,0.494,26,1.176,27,7.882,76,0.030,97
"Tree, Toby",-0.435,410,-0.386,420,-0.898,396,-0.273,272,-1.992,401,7.816,77,-0.098,412
"Lemke, Niklas",-0.161,311,-0.130,282,-0.459,319,-0.456,334,-1.206,346,7.772,78,-0.086,401
"Cantlay, Patrick",0.289,40,0.244,19,0.674,12,0.688,7,1.894,5,7.763,79,0.003,175
"Ventura, Kristoffer",0.076,139,-0.344,412,-0.792,389,-0.356,303,-1.417,364,7.725,80,-0.051,344
"Bjerregaard, Lucas",-0.031,214,-0.101,261,-0.737,381,-0.746,382,-1.616,382,7.523,81,-0.101,415
"Colsaerts, Nicolas",-0.456,413,-0.396,423,-0.229,227,-0.578,365,-1.659,385,7.455,82,-0.050,338
"Bertasio, Nino",-0.207,338,-0.241,372,-0.093,184,-0.521,349,-1.061,326,7.293,83,-0.058,355
"Fisher, Ross",-0.447,412,-0.217,354,-0.029,155,0.371,40,-0.323,193,7.237,84,-0.027,269
"Green, Gavin",0.244,53,-0.252,381,-0.651,366,-0.777,388,-1.436,365,7.111,85,-0.069,374
"Riley, Davis",0.225,61,0.038,136,0.285,59,0.255,68,0.803,41,7.107,86,0.019,128
"Straka, Sepp",0.236,58,0.014,148,0.077,115,0.211,82,0.537,67,7.104,87,0.005,168
"Long, Hurly",0.164,90,0.054,126,-0.620,358,0.149,109,-0.253,176,7.085,88,-0.062,360
"Coetzee, George",0.163,93,-0.037,196,-0.361,289,0.036,157,-0.198,168,7.081,89,-0.050,336
"Swafford, Hudson",-0.043,217,-0.365,416,0.127,98,-0.007,176,-0.289,184,7.039,90,-0.005,197
"Guerrier, Julien",0.145,101,-0.034,195,-0.601,356,0.035,158,-0.455,210,7.008,91,-0.028,275
"Chappell, Kevin",-0.098,256,-0.115,268,-0.212,225,-0.239,259,-0.665,261,6.986,92,-0.073,378
"Hoffman, Charley",-0.141,296,-0.082,244,-0.096,186,-0.036,184,-0.355,196,6.950,93,-0.050,341
"Casey, Paul",-0.097,254,0.147,65,0.626,17,0.009,169,0.686,52,6.772,94,0.018,130
"Smotherman, Austin",-0.083,244,-0.300,402,0.068,120,0.327,56,0.012,141,6.634,95,0.027,109
"Pieters, Thomas",-0.067,239,0.135,69,0.234,70,0.188,95,0.489,73,6.539,96,-0.024,256
"Cink, Stewart",0.007,185,-0.182,329,0.063,121,0.103,129,-0.008,147,6.519,97,-0.029,278
"Steele, Brendan",-0.212,339,-0.086,249,0.406,35,0.621,14,0.729,47,6.513,98,0.027,107
"Frittelli, Dylan",0.029,166,0.080,110,0.178,84,-0.004,175,0.283,97,6.482,99,-0.066,366
