player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Frank Zombo,5945,ED,KC,13,4,1,77.8,0,0,16,33.6,57.5,68.5,55.7,72.1,64.3,2,5,0,42,8.6,3,0,1,153.9,7,1,3,5,61,424,412,0,0,412,0,0,12,159,204,3,13,28,9,8,3,103,55,14.7
Anthony Levine,6013,S,BLT,10,2,0,85.7,0,0,3,76.7,70.0,80.8,63.1,46.9,79.7,1,0,0,11,0.0,0,1,0,89.3,6,0,36,0,63,107,15,0,0,15,0,6,92,6,38,50,4,6,7,1,0,38,44,6.3
Marcus Sherels,6017,CB,MIN,1,0,0,0.0,0,0,18,78.8,82.0,66.8,60.0,,,0,0,0,,,0,1,0,39.6,0,0,1,0,3,4,0,0,0,0,0,0,4,1,0,3,0,0,3,0,0,0,0,
Albert McClellan,6022,ED,BLT,13,4,0,91.7,2,0,3,56.5,53.6,66.9,40.0,66.3,78.9,1,2,0,31,5.1,2,0,3,116.8,22,1,187,0,188,490,278,0,1,276,1,0,212,125,177,25,15,33,24,4,1,209,128,9.5
Mitch Unrein,6031,DI,CHI,10,7,0,,0,0,6,57.7,63.8,84.0,52.6,68.9,66.7,0,6,0,,8.3,2,0,0,0.0,0,1,0,0,3,338,338,9,246,8,75,0,0,165,170,0,15,15,0,7,0,0,0,
Teddy Williams,6073,CB,CAR,2,0,0,57.1,0,0,5,60.7,61.8,76.5,,64.6,79.5,0,0,1,17,0.0,0,1,0,33.3,4,0,3,46,39,49,0,0,0,0,0,0,49,0,10,0,1,6,7,0,0,39,12,9.8
Andrew Sendejo,6118,S,MIN,12,13,0,58.8,0,1,18,62.8,66.2,88.5,62.4,70.4,51.6,0,1,2,41,17.9,10,2,1,74.8,10,1,112,2,469,726,20,0,0,20,0,519,706,11,246,73,7,33,17,2,1,178,46,17.8
Von Miller,6154,ED,DEN,13,2,3,77.8,0,1,10,68.1,90.6,37.4,90.6,86.1,74.5,8,50,0,23,6.4,3,0,5,101.9,7,14,12,13,70,759,719,0,0,719,0,0,40,389,300,15,42,42,9,72,0,76,49,10.9
Marcell Dareus,6155,DI,BUF,5,10,1,,0,0,4,60.0,75.8,60.7,64.2,76.7,77.8,0,5,0,,0.0,0,0,0,0.0,0,4,3,0,0,267,264,94,167,0,3,0,3,132,135,0,18,17,0,9,0,0,0,
A.J. Green,6156,WR,CIN,1,0,0,,1,0,7,60.0,60.0,62.9,,,,0,0,0,,,0,0,4,0.0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
Patrick Peterson,6157,CB,ARZ,13,5,0,53.4,1,0,1,84.0,82.7,62.5,60.0,70.8,71.6,0,0,3,50,7.3,3,3,7,66.7,31,0,62,659,498,809,0,0,0,0,0,3,809,1,310,85,13,33,58,0,2,420,126,13.5
Julio Jones,6158,WR,ATL,3,0,0,,0,0,2,60.5,60.8,66.3,,,,0,0,0,,,0,0,3,0.0,0,0,0,0,4,4,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,
J.J. Watt,6163,DI,HST,3,0,0,,0,0,13,,56.6,83.3,59.8,51.6,72.1,3,4,0,,0.0,0,0,0,0.0,0,2,0,0,0,157,157,0,24,64,69,0,0,95,62,0,3,1,0,9,0,0,0,
Nick Fairley,6165,DI,NO,13,7,0,,0,0,20,54.8,61.5,50.4,66.7,58.3,63.0,7,25,0,,6.5,2,0,3,0.0,0,6,3,0,2,597,594,82,414,2,96,0,3,395,200,0,20,22,0,38,0,0,0,
Robert Quinn,6166,ED,LA,9,2,1,,4,2,26,59.8,57.4,17.2,71.7,40.6,63.6,3,15,0,,12.5,1,0,5,0.0,0,4,1,0,2,370,369,0,1,357,11,0,1,265,103,0,7,5,0,22,0,0,0,
Ryan Kerrigan,6168,ED,WAS,13,4,2,100.0,0,2,32,38.0,81.4,71.1,81.4,73.3,70.5,7,47,0,29,16.7,4,0,1,118.8,2,12,2,0,23,659,651,0,1,646,4,0,8,400,236,4,26,16,2,66,0,39,11,19.5
Corey Liuget,6170,DI,SD,13,5,3,,0,0,27,76.4,68.8,65.3,55.7,73.5,69.2,6,24,0,,6.7,2,1,2,0.0,0,0,10,0,2,646,636,69,457,20,90,0,10,401,243,0,19,23,0,30,0,0,0,
Prince Amukamara,6171,CB,JAX,11,1,0,62.5,1,0,15,67.6,68.8,89.0,56.7,67.2,82.7,0,0,0,56,4.5,2,3,3,97.2,35,0,32,501,390,652,84,0,0,84,0,0,568,3,259,35,14,41,56,0,2,419,115,12.0
Adrian Clayborn,6172,ED,ATL,11,1,0,,1,0,2,61.7,65.7,62.0,62.5,66.7,58.1,11,22,0,,22.2,4,0,2,0.0,0,5,0,0,6,484,484,12,111,270,91,0,0,365,113,0,15,13,0,38,0,0,0,
Cameron Jordan,6176,ED,NO,13,7,4,,2,1,20,67.5,90.2,65.9,85.8,80.6,68.4,14,42,0,,7.3,3,0,3,0.0,0,7,7,0,0,789,781,0,12,609,160,0,8,496,293,0,32,31,0,63,0,0,0,
Jimmy Smith,6179,CB,BLT,11,3,0,54.1,0,0,3,65.6,67.2,54.1,,75.9,76.0,0,0,0,27,8.3,3,3,5,80.4,33,0,30,530,380,583,5,0,0,5,0,2,578,0,203,16,10,30,61,0,2,327,117,9.9
