player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Ramon Humber,5310,LB,BUF,1,1,,,100.0,,,0,0,0,,4,63.8,64.3,70.2,,60.0,70.5,0,,0.0,0,0,0,0.0,0,4,4,0,0,0,0,0,0,0.0,
Dan Skuta,5349,ED,JAX,2,0,,,45.0,,,0,0,0,,15,41.2,53.2,78.7,50.8,67.3,69.2,0,,,0,0,0,0.0,0,9,20,0,0,0,0,0,0,0.0,
Jonathan Casillas,5422,LB,NYG,2,2,6.2,69.2,90.3,5.9,4.1,0,0,2,15.4,21,76.6,72.5,78.0,51.2,60.4,84.6,0,10,0.0,0,2,0,77.7,9,56,62,4,10,13,0,56,21,1.1,6.2
Eric Berry,5530,S,KC,2,0,4.6,80.0,94.8,17.3,13.8,0,0,0,0.0,16,57.6,58.4,81.0,54.8,61.1,42.0,0,14,14.3,1,0,1,90.0,4,73,77,1,6,5,0,28,14,0.4,7.0
Joe Haden,5532,CB,CLV,2,1,18.8,46.7,100.0,12.1,5.7,0,1,3,20.0,8,82.4,81.4,80.7,,67.8,80.5,2,35,0.0,0,3,1,73.5,7,90,90,0,5,15,2,117,11,1.4,16.7
Brandon Graham,5538,ED,PHI,2,0,8.0,100.0,4.0,2.0,2.0,0,0,0,0.0,24,52.3,88.5,82.5,90.9,62.5,76.0,0,9,,0,0,0,104.2,1,2,50,2,0,1,0,9,1,4.5,9.0
Earl Thomas III,5539,S,SEA,2,1,26.7,66.7,100.0,34.5,23.0,0,0,0,0.0,29,49.3,49.1,80.7,,61.2,41.0,0,16,20.0,2,0,0,92.4,2,71,71,2,7,3,0,25,0,0.4,12.5
Jason Pierre-Paul,5540,ED,NYG,2,0,,,4.3,,,0,0,0,,21,61.4,65.2,46.2,65.1,63.1,48.2,0,,,0,0,1,0.0,0,4,92,1,0,0,0,0,0,0.0,
Derrick Morgan,5541,ED,TEN,1,0,,,4.0,,,0,0,0,,31,60.0,84.9,78.9,67.6,84.1,74.2,0,,,0,0,0,0.0,0,1,25,0,0,0,0,0,0,0.0,
Sean Weatherspoon,5544,LB,ATL,2,1,5.8,90.0,90.4,5.1,4.6,0,0,0,0.0,2,75.7,63.3,75.0,52.2,42.8,53.9,0,30,10.0,1,0,0,133.3,9,47,52,4,8,10,1,80,42,1.7,8.9
Kareem Jackson,5545,CB,HST,2,0,8.7,83.3,98.8,7.5,6.3,0,0,0,0.0,13,55.1,50.7,79.5,59.7,35.6,50.9,0,19,0.0,0,0,2,129.2,10,80,81,3,8,12,1,100,20,1.3,10.0
