player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Jelani Jenkins,7886,LB,MIA,4,12,,12.0,17,0,39.6,0,1,0,0,0,0.0
Connor Barwin,4969,ED,PHI,5,6,,6.0,24,0,39.6,0,1,0,0,0,0.0
Vinnie Sunseri,8802,S,NO,1,1,,1.0,20,0,39.6,0,1,0,0,0,0.0
Curtis Lofton,4351,LB,NO,4,4,,4.0,20,0,39.6,0,1,0,0,0,0.0
Philip Wheeler,4407,LB,MIA,4,6,,6.0,17,0,39.6,0,1,0,0,0,0.0
Tyvon Branch,4414,S,OAK,3,9,,9.0,23,0,39.6,0,1,0,0,0,0.0
JoLonn Dunbar,4588,LB,SL,3,4,,4.0,26,0,39.6,0,1,0,0,0,0.0
Brandon Carr,4454,CB,DAL,3,4,,4.0,9,0,39.6,0,1,0,0,0,0.0
Wesley Woodyard,4583,LB,TEN,6,12,,6.0,31,0,39.6,0,2,0,0,0,0.0
Tahir Whitehead,7135,LB,DET,1,1,,1.0,11,0,39.6,0,1,0,0,0,0.0
Sergio Brown,5803,S,IND,3,9,,9.0,14,0,39.6,0,1,0,0,0,0.0
Kyle Fuller,8649,CB,CHI,3,3,,3.0,6,0,39.6,0,1,0,0,0,0.0
Jim Leonhard,2694,S,CLV,3,5,,5.0,8,0,39.6,0,1,0,0,0,0.0
Anthony Hitchens,8754,LB,DAL,2,3,,3.0,9,0,39.6,0,1,0,0,0,0.0
Kamerion Wimbley,2958,ED,TEN,4,7,,7.0,31,0,39.6,0,1,0,0,0,0.0
Reshad Jones,5686,S,MIA,2,7,,7.0,17,0,39.6,0,1,0,0,0,0.0
Casey Hayward Jr.,7064,CB,GB,6,77,38.5,11.0,12,2,0.6,2,7,0,22,19,0.29
George Iloka,7159,S,CIN,6,31,31.0,15.5,7,0,95.8,1,2,0,26,12,0.84
Devin McCourty,5552,S,NE,7,28,28.0,9.3,19,0,68.8,1,3,0,28,17,1.0
Michael Thomas,7279,S,MIA,3,26,26.0,13.0,17,0,75.0,1,2,0,15,4,0.58
T.J. McDonald,7852,S,SL,6,24,24.0,12.0,26,0,68.8,1,2,0,12,0,0.5
Barry Church,5924,S,DAL,7,24,24.0,24.0,9,0,79.2,1,1,0,0,3,0.0
E.J. Gaines,8823,CB,SL,5,24,24.0,24.0,26,0,95.8,1,1,0,7,0,0.29
George Wilson,2210,S,TEN,5,22,22.0,11.0,31,0,56.3,1,2,0,1,1,0.05
Josh Evans,7951,S,JAX,6,22,22.0,11.0,15,0,56.3,1,2,0,6,7,0.27
Eric Reid,7799,S,SF,7,19,19.0,9.5,28,0,70.8,1,2,0,13,10,0.68
Brice McCain,5112,CB,PIT,4,75,18.8,6.8,25,1,11.6,4,11,0,45,23,0.6
Charles Woodson,330,S,OAK,4,18,18.0,18.0,23,0,104.2,1,1,0,9,4,0.5
Calvin Pace,1334,ED,NYJ,6,18,18.0,9.0,22,0,60.4,1,2,0,8,3,0.44
Quintin Demps,4431,S,NYG,4,17,17.0,17.0,21,0,118.8,1,1,0,13,1,0.76
Lance Briggs,1383,LB,CHI,4,17,17.0,17.0,6,1,79.2,1,1,0,15,10,0.88
Brandon Flowers,4349,CB,SD,5,85,17.0,7.1,27,1,29.5,5,12,0,79,27,0.93
Perrish Cox,5660,CB,SF,6,48,16.0,8.0,28,0,56.3,3,6,0,14,5,0.29
Alec Ogletree,7811,LB,SL,5,15,15.0,15.0,26,0,112.5,1,1,0,11,4,0.73
Josh Gordy,5990,CB,IND,6,73,14.6,10.4,14,0,103.3,5,7,0,70,11,0.96
Corey Graham,3784,CB,BUF,4,14,14.0,3.5,4,0,79.2,1,4,1,4,7,0.29
DeAndre Levy,4999,LB,DET,6,14,14.0,4.7,11,1,9.7,1,3,0,14,8,1.0
Greg Toler,5055,CB,IND,6,14,14.0,7.0,14,0,95.8,1,2,1,6,2,0.43
Cortland Finnegan,3160,CB,MIA,6,96,13.7,8.0,17,0,71.2,7,12,0,59,56,0.61
Chris Harris Jr.,6457,CB,DEN,6,54,13.5,5.4,10,1,8.3,4,10,0,24,23,0.44
Kendrick Lewis,5659,S,HST,7,26,13.0,13.0,13,0,83.3,2,2,0,8,3,0.31
Steven Terrell,8450,S,SEA,1,13,13.0,6.5,29,0,81.3,1,2,0,18,19,1.38
Kyle Arrington,4742,CB,NE,7,51,12.8,7.3,19,0,114.9,4,7,1,43,9,0.84
Tashaun Gipson Sr.,7288,S,CLV,6,38,12.7,6.3,8,2,23.6,3,6,0,28,8,0.74
Danny Gorrer,5424,CB,DET,5,110,12.2,8.5,11,0,92.8,9,13,0,103,52,0.94
Mike Mitchell,4970,S,PIT,6,12,12.0,12.0,25,0,87.5,1,1,0,5,7,0.42
Brock Vereen,8766,S,CHI,4,12,12.0,6.0,6,0,56.3,1,2,0,6,2,0.5
Bashaud Breeland,8737,CB,WAS,7,24,12.0,4.8,32,0,50.4,2,5,0,18,13,0.75
Quinton Carter,6260,S,DEN,3,12,12.0,6.0,10,0,64.6,1,2,0,10,2,0.83
Preston Brown,8708,LB,BUF,5,12,12.0,4.0,4,0,42.4,1,3,0,2,1,0.17
Darius Butler,4964,CB,IND,5,106,11.8,5.6,14,0,87.8,9,19,1,131,98,1.24
Nevin Lawson,8768,CB,DET,2,35,11.7,8.8,11,0,109.4,3,4,0,43,32,1.23
Captain Munnerlyn,5140,CB,MIN,7,163,11.6,8.2,18,0,133.3,14,20,3,160,116,0.98
Leodis McKelvin,4325,CB,BUF,7,23,11.5,11.5,4,0,118.8,2,2,0,35,7,1.52
James Ihedigbo,4147,S,DET,4,23,11.5,11.5,11,0,118.8,2,2,0,25,18,1.09
Donte Whitner,2953,S,CLV,6,23,11.5,7.7,8,0,70.1,2,3,0,7,6,0.3
Darrelle Revis,3630,CB,NE,6,45,11.3,6.4,19,1,36.3,4,7,0,44,16,0.98
