player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Josh Chapman,7646,DI,IND,4,0,14,0,0,0,0,0,0,56.4,22,0,0.0,0,0,0,0,100.0,48,48,0,0.0,0,0,0,0,43.6,17,0,0.0,0,0,0,0,0,0
Kurt Coleman,5767,S,KC,3,0,16,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,2.3,1,43,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Phillip Adams,5747,CB,NYJ,1,0,22,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,25.0,1,4,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Dekoda Watson,5740,LB,JAX,2,0,15,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,8.3,1,12,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Arthur Jones,5680,DI,IND,2,0,14,0,0,0,0,0,0,41.9,13,0,0.0,0,0,0,0,96.9,31,32,0,0.0,0,0,0,0,58.1,18,0,0.0,0,0,1,0,0,1
Ricky Sapp,5657,ED,HST,2,0,13,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,7,7,0,0.0,0,0,0,0,100.0,7,0,0.0,0,0,0,0,0,0
Walter Thurmond,5635,CB,NYG,2,0,21,0,0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,4.4,2,45,0,0.0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,0,0
Alex Carrington,5597,DI,SL,3,0,26,0,0,0,0,0,0,50.0,6,0,0.0,0,0,0,0,100.0,13,13,0,0.0,0,0,0,0,50.0,6,0,0.0,0,0,0,0,0,0
Morgan Burnett,5596,S,GB,4,0,12,0,0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,1.4,2,146,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Desmond Trufant,7803,CB,ATL,4,0,2,0,0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0.7,1,139,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Koa Misi,5565,LB,MIA,1,0,17,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,12.5,1,8,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Kyle Wilson,5554,CB,NYJ,4,0,22,0,0,0,0,0,0,33.3,2,0,0.0,0,0,0,0,8.2,6,73,0,0.0,0,0,0,0,66.7,4,0,0.0,0,0,0,0,0,0
Devin McCourty,5552,S,NE,4,0,19,0,0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0.7,1,135,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Dan Williams,5551,DI,ARZ,3,0,1,0,0,0,0,0,0,64.3,9,0,0.0,0,0,0,0,100.0,25,25,0,0.0,0,0,0,0,35.7,5,0,0.0,0,0,0,0,0,0
Kareem Jackson,5545,CB,HST,4,1,13,0,0,0,0,0,0,38.5,5,0,0.0,0,0,0,0,9.3,13,140,0,0.0,1,0,0,0,61.5,8,0,0.0,0,0,0,0,0,0
Johnathan Cyprien,7814,S,JAX,3,0,15,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.9,1,109,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Earl Thomas III,5539,S,SEA,3,0,29,0,0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0.8,1,121,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Kevin Minter,7826,LB,ARZ,3,0,1,0,0,0,0,0,0,40.0,2,0,0.0,0,0,1,0,16.7,5,30,0,0.0,0,0,0,0,60.0,3,0,0.0,0,0,0,0,0,1
Joe Haden,5532,CB,CLV,3,0,8,0,0,0,0,0,0,,0,0,,0,0,0,0,0.9,1,111,0,0.0,0,0,0,0,,0,0,,0,0,0,0,0,0
Jon Bostic,7831,LB,CHI,4,0,6,0,0,0,0,0,0,54.5,6,0,0.0,0,0,0,0,9.5,11,116,0,0.0,0,0,0,0,45.5,5,0,0.0,0,0,0,0,0,0
David Amerson,7832,CB,WAS,4,0,32,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.7,1,147,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Jamie Collins Sr.,7833,LB,NE,3,0,19,0,0,0,0,0,0,75.0,3,0,0.0,0,0,1,0,6.2,4,65,0,0.0,0,0,0,0,25.0,1,0,0.0,0,0,0,0,0,1
Danny Gorrer,5424,CB,DET,2,0,11,0,0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,2.3,1,44,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Ashlee Palmer,5281,LB,DET,3,0,11,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,7.1,1,14,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Dwayne Gratz,7845,CB,JAX,4,0,15,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.7,1,138,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Tyrann Mathieu,7850,S,ARZ,2,0,1,0,0,0,0,0,0,33.3,1,0,0.0,0,0,0,0,17.6,3,17,0,0.0,0,0,0,0,66.7,2,0,0.0,0,0,0,0,0,0
Brad Jones,5142,LB,GB,1,0,12,0,0,0,0,0,0,33.3,1,0,0.0,0,0,0,0,9.4,3,32,0,0.0,0,0,0,0,66.7,2,0,0.0,0,0,0,0,0,0
Captain Munnerlyn,5140,CB,MIN,4,0,18,0,0,0,0,0,0,28.6,2,0,0.0,0,0,0,0,5.0,7,140,0,0.0,0,0,0,0,71.4,5,0,0.0,0,0,0,0,0,0
J.J. Wilcox,7861,S,DAL,4,0,9,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.7,1,146,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Jason McCourty,5127,CB,TEN,4,0,31,0,0,0,0,0,0,80.0,4,0,0.0,0,0,0,0,3.9,5,128,0,0.0,0,0,0,0,20.0,1,0,0.0,0,0,0,0,0,0
John Jenkins,7863,DI,NO,1,0,20,0,0,0,0,0,0,20.0,1,0,0.0,0,0,0,0,100.0,7,7,0,0.0,0,0,0,0,80.0,4,0,0.0,0,0,0,0,0,0
Brice McCain,5112,CB,PIT,1,0,25,0,0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,4.5,1,22,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Shawn Williams,7865,S,CIN,2,0,7,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,14.3,1,7,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Glover Quin,5035,S,DET,4,0,11,0,0,0,0,0,0,,0,0,,0,0,0,0,0.7,1,138,0,0.0,0,0,0,0,,0,0,,0,0,0,0,0,0
Zaviar Gooden,7879,LB,TEN,4,0,31,0,0,0,0,0,0,27.3,3,0,0.0,0,0,0,0,23.9,11,46,0,0.0,0,0,0,0,72.7,8,0,0.0,0,0,0,0,0,0
Kaluka Maiava,5027,LB,OAK,3,0,23,0,0,0,0,0,0,66.7,2,0,0.0,0,0,0,0,10.0,4,40,0,0.0,0,0,0,0,33.3,1,0,0.0,0,0,0,0,0,0
Keenan Lewis,5019,CB,NO,4,0,20,0,0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0.7,1,152,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Duke Williams,7887,S,BUF,4,0,4,0,0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,1.3,1,77,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
DeAndre Levy,4999,LB,DET,4,0,11,0,0,0,0,0,0,40.0,4,0,0.0,0,0,0,0,7.1,10,140,0,0.0,0,0,0,0,60.0,6,0,0.0,0,0,0,0,0,0
Rey Maualuga,4961,LB,CIN,3,0,7,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,12.5,5,40,0,0.0,0,0,0,0,100.0,3,0,0.0,0,0,0,0,0,0
Patrick Chung,4957,S,NE,4,0,19,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,2.7,2,74,0,0.0,0,0,0,0,100.0,2,0,0.0,0,0,0,0,0,0
Lavar Edwards,7924,DI,DAL,1,0,9,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,6,6,0,0.0,0,0,0,0,100.0,6,0,0.0,0,0,0,0,0,0
Steven Means,7929,ED,TB,1,0,30,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,1,1,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
A.J. Klein,7930,LB,CAR,4,0,5,0,0,0,0,0,0,33.3,2,0,0.0,0,0,0,0,16.0,8,50,0,0.0,0,0,0,0,66.7,4,0,0.0,0,0,0,0,0,0
Louis Delmas,4956,S,MIA,4,0,17,0,0,0,0,0,0,42.9,3,0,0.0,0,0,0,0,5.0,8,159,0,0.0,0,0,0,0,57.1,4,0,0.0,0,0,0,0,0,0
Quinton Dial,7939,DI,SF,2,0,28,0,0,0,0,0,0,66.7,2,0,0.0,0,0,0,0,87.5,7,8,0,0.0,0,0,0,0,33.3,1,0,0.0,0,0,0,0,0,0
Micah Hyde,7941,S,GB,4,0,12,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,2.3,2,87,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Vontae Davis,4948,CB,IND,4,0,14,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.7,1,141,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Malcolm Jenkins,4937,S,PHI,4,0,24,0,0,0,0,0,0,100.0,3,0,0.0,0,0,0,0,2.4,4,168,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Cornelius Washington,7969,ED,CHI,1,0,6,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,3,3,0,0.0,0,0,0,0,100.0,3,0,0.0,0,0,0,0,0,0
Danny Lansanah,4713,LB,TB,3,0,30,0,0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,4.3,1,23,0,0.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Cary Williams,4543,CB,PHI,4,0,24,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.6,1,168,0,0.0,0,0,0,0,100.0,1,0,0.0,0,0,0,0,0,0
Stacy McGee,7987,DI,OAK,4,0,23,0,0,0,0,0,0,71.4,10,0,0.0,0,0,0,0,100.0,15,15,0,0.0,0,0,0,0,28.6,4,0,0.0,0,0,0,0,0,0
