player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Evan Engram,11778,TE,NYG,9,8.9,7,60.6,43.8,7,16,1,13.0,6,24,21,0,38.0,78.4,65.3,76.3,68.1,61.4,208,2,31,4.1,14,339,5,40,90.6,307,24.5,83,93.2,66,5,13.0,44,443,203,5.1,11.1,1.44
Pierre Garcon,4519,WR,SF,8,10.1,4,61.5,41.7,5,12,0,0.0,0,25,28,0,90.2,78.3,77.5,,76.3,0.0,0,1,59,0.0,0,293,1,40,95.2,279,23.9,70,79.0,65,0,75.8,222,500,177,4.4,12.5,1.79
Travis Kelce,7844,TE,KC,9,9.0,11,78.5,30.0,3,10,0,3.8,2,36,16,0,79.6,79.8,87.6,44.6,90.1,27.2,89,1,44,6.7,22,327,3,51,89.6,293,48.0,157,126.2,65,5,23.9,78,629,249,4.9,12.3,2.15
Davante Adams,8688,WR,GB,9,10.2,7,64.6,28.6,4,14,0,8.7,4,26,12,0,52.2,78.4,70.1,,69.3,0.3,1,0,42,0.0,0,368,0,42,92.1,339,19.0,70,118.4,65,6,80.7,297,494,164,3.9,11.8,1.46
T.Y. Hilton,7092,WR,IND,10,15.8,2,57.1,22.2,4,18,0,7.7,3,25,14,1,63.0,28.6,70.2,,70.1,0.0,0,3,80,0.0,0,373,3,36,95.2,355,38.9,145,93.7,63,3,61.1,228,725,221,6.1,20.1,2.04
DeSean Jackson,4363,WR,TB,9,18.5,1,53.2,25.0,4,16,0,2.9,1,25,30,0,79.6,77.4,77.6,,77.2,0.0,0,3,41,0.0,0,324,0,33,94.8,307,17.3,56,70.9,62,2,82.4,267,504,150,4.5,15.3,1.64
Marvin Jones Jr.,7158,WR,DET,9,15.2,7,54.8,42.9,9,21,1,8.1,3,23,11,0,62.1,77.3,73.2,,72.2,0.3,1,1,43,0.0,0,387,3,34,94.3,365,11.6,45,104.0,62,5,88.1,341,537,94,2.8,15.8,1.47
Robby Anderson,11254,WR,NYJ,10,14.9,4,57.4,13.3,2,15,0,7.9,3,21,22,0,62.9,77.7,67.4,,69.5,0.0,0,4,69,0.0,0,325,1,35,95.1,309,29.5,96,88.7,61,5,70.2,228,568,174,5.0,16.2,1.84
Brandin Cooks,8655,WR,NE,9,14.4,4,63.9,31.3,5,16,0,11.4,5,27,19,0,58.4,78.8,71.3,,71.6,0.0,0,0,54,0.0,0,389,3,39,92.3,359,18.5,72,115.3,61,3,81.5,317,637,143,3.7,16.3,1.77
Rishard Matthews,7211,WR,TEN,9,12.3,2,60.0,50.0,7,14,0,7.7,3,24,31,0,63.6,77.8,72.6,,71.9,0.6,2,3,55,0.0,0,309,0,36,94.8,293,31.7,98,78.0,60,2,67.6,209,513,164,4.6,14.3,1.75
Jimmy Graham,5619,TE,SEA,9,8.3,5,65.0,47.6,10,21,0,9.3,4,20,29,0,49.0,77.9,68.0,74.3,66.5,27.3,87,2,33,6.0,19,319,1,39,86.2,275,44.2,141,100.3,60,6,28.5,91,355,146,3.7,9.1,1.29
Rob Gronkowski,5567,TE,NE,8,12.0,5,63.3,50.0,9,18,0,9.5,4,29,19,1,51.0,29.7,78.0,65.9,78.2,34.2,113,0,53,11.8,39,330,4,38,81.5,269,47.9,158,123.1,60,5,17.6,58,583,216,5.7,15.3,2.17
Tyreek Hill,10799,WR,KC,9,11.8,4,69.0,50.0,4,8,1,4.8,2,25,16,0,74.4,84.2,76.5,61.6,81.3,0.0,0,0,75,0.3,1,301,3,40,94.7,285,35.5,107,126.9,58,4,60.1,181,617,262,6.6,15.4,2.16
Delanie Walker,3120,TE,TEN,9,10.1,1,74.1,58.3,7,12,0,0.0,0,25,31,1,84.4,34.1,78.6,78.2,77.2,34.6,97,2,25,4.6,13,280,1,43,89.6,251,49.6,139,82.4,58,0,15.4,43,458,128,3.0,10.7,1.82
Robert Woods,7822,WR,LA,9,11.1,3,68.4,25.0,1,4,0,4.9,2,26,26,1,73.5,29.8,75.2,75.2,73.6,1.4,4,0,94,0.7,2,289,3,39,95.2,275,28.4,82,128.0,57,4,70.2,203,622,238,6.1,15.9,2.26
Kelvin Benjamin,8663,WR,BUF,9,12.2,3,61.4,47.4,9,19,0,7.9,3,23,4,0,62.9,77.4,71.9,,72.1,0.0,0,2,43,0.0,0,280,1,35,94.3,264,17.5,49,88.1,57,2,82.5,231,517,108,3.1,14.8,1.96
Carlos Hyde,8692,HB,SF,10,0.9,7,73.7,33.3,1,3,2,12.5,6,13,28,0,45.1,76.2,58.5,49.0,51.6,0.3,1,1,18,22.9,73,319,2,42,74.9,239,4.1,13,76.2,57,0,6.0,19,274,266,6.3,6.5,1.15
Zach Ertz,7816,TE,PHI,8,9.3,2,75.4,50.0,4,8,0,4.4,2,29,24,1,75.5,30.4,75.6,48.0,84.1,44.4,131,1,53,8.5,25,295,2,43,86.4,255,38.0,112,131.3,57,6,17.3,51,528,158,3.7,12.3,2.07
Michael Crabtree,4933,WR,OAK,8,11.6,5,64.3,46.7,7,15,0,7.7,3,25,23,0,64.3,77.7,74.5,,73.4,0.0,0,2,41,0.0,0,255,3,36,92.5,236,20.0,51,110.0,56,6,79.2,202,451,134,3.7,12.5,1.91
Emmanuel Sanders,5606,WR,DEN,7,11.7,3,58.2,29.4,5,17,0,8.6,3,22,10,0,50.9,76.8,76.5,,74.8,0.0,0,0,38,0.0,0,241,0,32,94.6,228,25.3,61,95.5,55,2,74.3,179,433,140,4.4,13.5,1.9
Jared Cook,5012,TE,OAK,9,9.6,5,73.6,66.7,8,12,0,7.1,3,26,23,1,65.1,29.3,71.2,79.2,73.0,26.6,77,0,35,6.6,19,289,3,39,86.2,249,56.7,164,108.9,53,1,16.6,48,499,170,4.4,12.8,2.0
Cooper Kupp,11824,WR,LA,9,9.4,10,60.4,50.0,2,4,1,11.1,4,23,26,0,50.9,77.7,72.2,71.6,73.5,0.0,0,1,35,1.6,4,254,3,32,94.5,240,63.0,160,96.2,53,3,36.6,93,417,179,5.6,13.0,1.74
