player_name,sample_size,DG_odds,bet365_odds,bet365_ev,whill_odds,whill_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,pinnacle_odds,pinnacle_ev,betcris_odds,betcris_ev,betfair_odds,betfair_ev,betonline_odds,betonline_ev,betmgm_odds,betmgm_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,circa_odds,circa_ev,pointsbet_odds,pointsbet_ev,skybet_odds,skybet_ev,unibet_odds,unibet_ev
"Martin, Ben",150,+56238,+25000,-0.554,+20000,-0.643,+17000,-0.696,+50000,-0.111,+32914,-0.414,,0.00,+15000,-0.732,,0.00,+20000,-0.643,+20000,-0.643,+20000,-0.643,+30000,-0.466,+20000,-0.643,+20000,-0.643,+25000,-0.554
"Donald, Luke",150,+58724,+27500,-0.531,+20000,-0.658,+14000,-0.760,+25000,-0.573,+28054,-0.521,,0.00,+12500,-0.786,+25000,-0.573,+30000,-0.488,+20000,-0.658,+20000,-0.658,+30000,-0.488,+20000,-0.658,+20000,-0.658,+20000,-0.658
"Buckley, Hayden",150,+61438,+30000,-0.511,+30000,-0.511,+26000,-0.576,+40000,-0.348,+35888,-0.415,,0.00,+25000,-0.592,+35000,-0.430,+25000,-0.592,+25000,-0.592,+30000,-0.511,+40000,-0.348,+25000,-0.592,+30000,-0.511,+35000,-0.430
"Gutschewski, Scott",150,+65474,+30000,-0.541,+30000,-0.541,+28000,-0.571,+30000,-0.541,+26791,-0.590,,0.00,+25000,-0.617,,0.00,+25000,-0.617,+25000,-0.617,+30000,-0.541,+45000,-0.312,+35000,-0.465,+30000,-0.541,+25000,-0.617
"Norlander, Henrik",150,+66567,+30000,-0.548,+30000,-0.548,+38000,-0.428,+30000,-0.548,+43114,-0.352,,0.00,+30000,-0.548,+35000,-0.474,+40000,-0.398,+30000,-0.548,+30000,-0.548,+45000,-0.324,+35000,-0.474,+30000,-0.548,+35000,-0.474
"Bryan, Wesley",150,+66567,+35000,-0.474,+25000,-0.623,+21000,-0.683,+40000,-0.398,+32307,-0.514,,0.00,+20000,-0.699,,0.00,+25000,-0.623,+25000,-0.623,+30000,-0.548,+40000,-0.398,+30000,-0.548,+30000,-0.548,+35000,-0.474
"O'Hair, Sean",150,+67697,+30000,-0.556,+25000,-0.630,+42000,-0.379,+25000,-0.630,+35520,-0.475,,0.00,+30000,-0.556,,0.00,+35000,-0.482,+25000,-0.630,+25000,-0.630,+45000,-0.335,+40000,-0.409,+25000,-0.630,+25000,-0.630
"Wallace, Matt",150,+67697,+16000,-0.763,+10000,-0.851,+8000,-0.881,+20000,-0.704,+18837,-0.721,+12050,-0.821,+8000,-0.881,+20000,-0.704,+15000,-0.777,+10000,-0.851,+10000,-0.851,+12500,-0.814,+10000,-0.851,+10000,-0.851,+15000,-0.777
"Haas, Bill",150,+71329,+40000,-0.439,+30000,-0.579,+42000,-0.411,+40000,-0.439,+24833,-0.651,,0.00,+30000,-0.579,,0.00,+35000,-0.509,+30000,-0.579,+30000,-0.579,+35000,-0.509,+40000,-0.439,+30000,-0.579,+35000,-0.509
"Lingmerth, David",150,+72627,+75000,0.033,+40000,-0.449,+50000,-0.311,+40000,-0.449,+37955,-0.477,,0.00,+50000,-0.311,,0.00,+30000,-0.586,+40000,-0.449,+50000,-0.311,+70000,-0.036,+40000,-0.449,+40000,-0.449,+50000,-0.311
"Taylor, Vaughn",150,+75372,+27500,-0.634,+25000,-0.667,+27000,-0.641,+30000,-0.601,+33959,-0.549,,0.00,+25000,-0.667,+35000,-0.535,+35000,-0.535,+25000,-0.667,+30000,-0.601,+40000,-0.469,+35000,-0.535,+25000,-0.667,+35000,-0.535
"Kohles, Ben",150,+75372,+40000,-0.469,+40000,-0.469,+50000,-0.336,+25000,-0.667,+40417,-0.463,,0.00,+50000,-0.336,,0.00,+30000,-0.601,+40000,-0.469,+50000,-0.336,+55000,-0.270,+40000,-0.469,+30000,-0.601,+50000,-0.336
"Villegas, Camilo",150,+76823,+40000,-0.479,+40000,-0.479,+42000,-0.453,+50000,-0.349,+37955,-0.505,,0.00,+30000,-0.609,,0.00,+50000,-0.349,+30000,-0.609,+40000,-0.479,+50000,-0.349,+50000,-0.349,+40000,-0.479,+35000,-0.544
"Sloan, Roger",150,+76823,+35000,-0.544,+30000,-0.609,+27000,-0.648,+40000,-0.479,+29343,-0.617,,0.00,+25000,-0.674,,0.00,+25000,-0.674,+30000,-0.609,+30000,-0.609,+40000,-0.479,+30000,-0.609,+30000,-0.609,+35000,-0.544
"Wu, Dylan",150,+79900,+40000,-0.499,+25000,-0.686,+42000,-0.474,+30000,-0.624,+29343,-0.632,,0.00,+30000,-0.624,,0.00,+35000,-0.561,+30000,-0.624,+30000,-0.624,+60000,-0.249,+35000,-0.561,+30000,-0.624,+35000,-0.561
