"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","odds_per_dollar","residuals","own_change","adj_own","ownership","total_pts","date","tournament"
"92","Danny Lee",22890903,6200,49.84,0.001,0.0014,102,4e-04,0.4,44.91,0.73,71.5,23,0.4582,0.0039,0.1171,0.0632,0.0233,0.0086,0.0043,0.0012,100,0.23,-0.11,3.1,4,0.0038,22.5,"2022-06-05","Memorial Tournament"
"93","Justin Lower",22890904,6200,59.25,0.0028,0.0025,85,-3e-04,-0.1071,37.86,0.4,65.5,21,0.4645,0.0024,0.1189,0.064,0.0242,0.009,0.0043,0.0012,100,0.4,0.06,1.43,2,0.0065,18.5,"2022-06-05","Memorial Tournament"
"94","Nate Lashley",22890905,6200,58.15,0.0032,0.0028,80,-4e-04,-0.125,48.73,2.5,74,24,0.5578,0.0063,0.1951,0.1169,0.0501,0.0204,0.0105,0.003,100,0.45,0.11,1.25,4,0.0068,27.5,"2022-06-05","Memorial Tournament"
"95","Ryan Moore",22890906,6200,48.38,0.0042,0.0037,70,-5e-04,-0.119,49.99,0.9,75,24,0.5262,0.0056,0.1749,0.1057,0.0435,0.0182,0.0097,0.0022,70,0.6,0.26,1.07,2,0.0056,31,"2022-06-05","Memorial Tournament"
"96","Andrew Putnam",22890907,6200,53,0.0036,0.0032,75,-4e-04,-0.1111,45.89,0.96,71.5,23,0.5871,0.0082,0.221,0.1364,0.0574,0.0246,0.0125,0.0032,100,0.52,0.18,1.25,2,0.0068,19.5,"2022-06-05","Memorial Tournament"
"97","Jason Dufner",22890908,6100,34.79,0.0022,0.002,92,-2e-04,-0.0909,44.43,0.17,71,22.5,0.3776,0.0018,0.0687,0.0335,0.0106,0.0036,0.0018,5e-04,100,0.33,0.07,1.63,2,0.0033,21,"2022-06-05","Memorial Tournament"
"98","William McGirt",22890909,6100,41.96,0.001,9e-04,108,-1e-04,-0.1,40.05,0.05,67.5,21.5,0.411,0.0022,0.0859,0.0436,0.0148,0.0051,0.0025,4e-04,100,0.15,-0.11,1.8,2,6e-04,24.5,"2022-06-05","Memorial Tournament"
"99","Jediah Morgan",22890910,6100,0,2e-04,2e-04,114,0,0,25.58,0.02,56.27,14.07,0.1211,1e-04,0.0048,0.0019,4e-04,1e-04,0,0,100,0.03,-0.23,1.97,2,0,15.5,"2022-06-05","Memorial Tournament"
"100","Adam Schenk",22890911,6100,46.83,0.0022,0.002,92,-2e-04,-0.0909,46,0.3,72,23,0.4957,0.0047,0.1378,0.0774,0.0289,0.0111,0.0059,0.0017,26,0.33,0.07,1.63,2,0.0044,62.5,"2022-06-05","Memorial Tournament"
"101","Nick Watney",22890912,6100,46.47,2e-04,3e-04,112,1e-04,0.5,35.72,0.08,62.5,20,0.3457,0.002,0.0545,0.0249,0.0079,0.0026,0.0011,3e-04,100,0.05,-0.21,2.67,3,9e-04,10,"2022-06-05","Memorial Tournament"
"102","Brandt Snedeker",22890913,6100,44.41,0.0014,0.0012,104,-2e-04,-0.1429,44.52,0.41,71,23,0.4459,0.0021,0.1037,0.0541,0.0186,0.0068,0.0033,6e-04,60,0.2,-0.06,1.63,2,0.0031,48,"2022-06-05","Memorial Tournament"
"103","Wyndham Clark",22890914,6100,53.37,0.002,0.0019,94,-1e-04,-0.05,41.1,0.29,69,21.5,0.4496,0.0027,0.1072,0.0581,0.0193,0.0071,0.0032,9e-04,37,0.31,0.05,1.81,2,0.003,63,"2022-06-05","Memorial Tournament"
"104","Brandon Hagy",22890915,6100,43.43,0.001,9e-04,108,-1e-04,-0.1,43.76,0.19,71,22.5,0.3675,0.0023,0.0646,0.0315,0.0098,0.0036,0.0019,4e-04,100,0.15,-0.11,1.8,2,4e-04,19,"2022-06-05","Memorial Tournament"
"105","Brandon Wu",22890916,6100,50.86,0.0024,0.0021,90,-3e-04,-0.125,45.95,0.5,72.5,23,0.4868,0.0034,0.1367,0.0765,0.0295,0.012,0.0063,0.0016,69,0.34,0.08,1.44,2,0.002,54,"2022-06-05","Memorial Tournament"
"106","Sam Ryder",22890917,6000,52.82,0.0018,0.0016,98,-2e-04,-0.1111,47.23,0.36,73.08,23.5,0.5176,0.0038,0.1571,0.0892,0.0341,0.0136,0.0069,0.0018,100,0.27,0.11,1.64,2,0.0063,23,"2022-06-05","Memorial Tournament"
"107","Ryan Brehm",22890918,6000,55.08,6e-04,6e-04,110,0,0,31.78,0.09,56.5,18.5,0.3213,0.0019,0.0464,0.023,0.0066,0.0021,8e-04,1e-04,100,0.1,-0.06,1.99,2,0.0014,10.5,"2022-06-05","Memorial Tournament"
"108","John Pak",22890919,6000,47.25,2e-04,2e-04,114,0,0,31.81,0.05,57,19,0.2931,0.0012,0.0376,0.0169,0.0049,0.0014,6e-04,1e-04,100,0.03,-0.13,1.98,2,1e-04,16.5,"2022-06-05","Memorial Tournament"
"109","Camilo Villegas",22890920,6000,45.74,0.0016,0.0014,102,-2e-04,-0.125,43.01,0.14,69.5,22.5,0.3991,0.0034,0.0843,0.0436,0.0146,0.0054,0.0024,6e-04,53,0.23,0.07,1.64,2,0.0012,41,"2022-06-05","Memorial Tournament"
"110","Luke Donald",22890921,6000,50.16,0.0018,0.0016,98,-2e-04,-0.1111,46.42,0.46,72,23.5,0.4652,0.0036,0.1183,0.0661,0.0242,0.0091,0.0043,0.0011,100,0.27,0.11,1.64,2,0.0035,29,"2022-06-05","Memorial Tournament"
"111","Charley Hoffman",22890922,6000,46.97,0.0014,0.0015,100,1e-04,0.0714,50.72,0.77,76,24,0.3996,0.0023,0.0795,0.0407,0.0142,0.0048,0.0024,5e-04,100,0.25,0.09,2.22,3,0.0045,26,"2022-06-05","Memorial Tournament"
"112","Bo Hoag",22890923,6000,44.71,0.001,9e-04,108,-1e-04,-0.1,45.2,0.22,71.5,22.5,0.3872,0.0025,0.0714,0.0357,0.0121,0.004,0.0021,4e-04,100,0.15,-0.01,1.82,2,0.0053,18.5,"2022-06-05","Memorial Tournament"
"113","David Lingmerth",22890924,6000,49.67,0.0012,0.0011,106,-9.99999999999998e-05,-0.0833,40.28,0.28,67,21.5,0.4411,0.0029,0.1067,0.0562,0.0214,0.008,0.004,0.001,48,0.18,0.02,1.82,2,0.0022,55,"2022-06-05","Memorial Tournament"
"114","Robert Streb",22890925,6000,47.21,0.0018,0.0016,98,-2e-04,-0.1111,40.91,0.44,68,22,0.4751,0.0041,0.1264,0.0707,0.025,0.0093,0.0046,0.001,100,0.27,0.11,1.64,2,0.0048,26,"2022-06-05","Memorial Tournament"
"115","Curtis Luck",22890926,6000,59.32,2e-04,2e-04,114,0,0,32.54,0.21,58.5,19,0.2551,9e-04,0.0256,0.0108,0.003,0.001,4e-04,0,100,0.03,-0.13,1.98,2,0.0019,21,"2022-06-05","Memorial Tournament"
"116","James Piot",22890927,6000,18.12,2e-04,2e-04,114,0,0,29.26,0.02,48.5,17.5,0.1491,4e-04,0.0067,0.0024,5e-04,1e-04,0,0,100,0.03,-0.13,1.98,2,4e-04,21,"2022-06-05","Memorial Tournament"
