"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","odds_per_dollar","one","residuals","own_change","adj_own"
"70","Justin Lower",22311783,6800,55.85,0.0041,0.0041,86,0,0,35.42,1.2,62,20,0.6,1,-0.17,9.8725,10
"71","James Hahn",22311784,6800,40.58,0.0074,0.0069,56,-5e-04,-0.0676,51.1,1.4,74.5,24,1.01,1,0.24,9.2256976,10
"72","Trey Mullinax",22311785,6800,47.73,0.0046,0.0068,58,0.0022,0.4783,50.16,1.9,74.5,23.5,1,1,0.23,16.8602089,20
"73","Chez Reavie",22311786,6800,47.12,0.0029,0.0046,78,0.0017,0.5862,51.36,0.54,74.58,24,0.68,1,-0.09,16.7688044,15
"74","Hank Lebioda",22311787,6700,42.38,0.0065,0.0043,82,-0.0022,-0.3385,50.34,1.7,74.5,24,0.64,1,-0.06,6.7008225,10
"75","Callum Tarren",22311788,6700,49.96,0.0049,0.0081,46,0.0032,0.6531,47.37,4.7,72,23,1.21,1,0.51,21.0478961,25
"76","Andrew Novak",22311789,6700,50.89,0.006,0.0051,73,-9e-04,-0.15,48.41,3.1,73.5,23.5,0.76,1,0.06,8.47,10
"77","Brice Garnett",22311790,6700,46.76,0.0049,0.0051,73,0.000200000000000001,0.0408,50.06,1.7,74,24,0.76,1,0.06,10.4616464,10
"78","Aaron Baddeley",22311791,6700,59.88,0.0019,0.0023,113,4e-04,0.2105,44.78,0.95,70.5,22.5,0.34,1,-0.36,10.9731025,10
"79","Bill Haas",22311792,6700,52.22,0.0043,0.0047,76,4e-04,0.093,44.75,0.73,69.5,23,0.7,1,0,10.88649,10
"80","Curtis Thompson",22311793,6700,48.5,0.0017,0.0028,106,0.0011,0.6471,45.44,0.99,70,22.5,0.42,1,-0.28,16.1773841,15
"81","Bo Hoag",22311794,6600,52.35,0.0028,0.004,88,0.0012,0.4286,48.61,1.6,73.5,23,0.61,1,-0.03,14.2144796,15
"82","Dylan Wu",22311795,6600,51.54,0.0059,0.0056,70,-3e-04,-0.0508,49.2,5.2,73.5,23.5,0.85,1,0.21,9.5833064,15
"83","Camilo Villegas",22311796,6600,49.25,0.002,0.0024,110,4e-04,0.2,47.78,0.86,73.5,23.5,0.36,1,-0.28,10.99,10
"84","Sung Kang",22311797,6600,50.16,0.0043,0.0023,113,-0.002,-0.4651,37.34,0.58,63.5,20.5,0.35,1,-0.29,7.9456801,10
"85","Ben Griffin",22311798,6600,76.88,0.0047,0.0058,66,0.0011,0.234,18.28,2.4,23.5,12,0.88,1,0.24,12.92756,15
"86","Roger Sloan",22311799,6600,45.53,0.0076,0.0051,73,-0.0025,-0.3289,54.76,2.2,77.5,25,0.77,1,0.13,6.1792521,10
"87","Wesley Bryan",22311800,6600,49.56,0.0037,0.007,55,0.0033,0.8919,44.54,1.1,70.5,22.5,1.06,1,0.42,24.8698561,25
"88","Robert Garrigus",22311801,6600,70,0.0028,0.002,119,-8e-04,-0.2857,52.73,1.9,76,24.5,0.3,1,-0.34,8.9612449,10
"89","Patrick Flavin",22311802,6500,75,0.0019,0.0032,100,0.0013,0.6842,38.15,3.9,65,20.5,0.49,1,-0.08,17.2212964,20
"90","Ben Kohles",22311803,6500,54.42,0.004,0.0042,84,2e-04,0.05,40,2.6,66,21.5,0.65,1,0.08,10.485,15
"91","Kevin Tway",22311804,6500,45.68,0.0053,0.0062,63,9e-04,0.1698,42.58,1.8,68.5,22,0.95,1,0.38,12.3733204,15
"92","Satoshi Kodaira",22311805,6500,53.21,0.0034,0.0018,123,-0.0016,-0.4706,52.89,0.6,76,24.5,0.28,1,-0.29,8.7971436,10
"93","Stephan Jaeger",22311806,6500,42.76,0.0037,0.0039,89,2e-04,0.0541,38.52,0.57,66,20.5,0.6,1,0.03,10.4517681,10
"94","Paul Barjon",22311807,6500,46.85,0.0046,0.0047,76,1e-04,0.0217,47.35,5.4,73,23,0.72,1,0.15,10.3172089,15
"95","Austin Cook",22311808,6500,44.23,0.0016,0.0038,90,0.0022,1.375,35.47,0.29,62,19.5,0.58,1,0.01,33.31375,35
"96","Scott Gutschewski",22311809,6500,50.41,0.0042,0.0046,78,4e-04,0.0952,54.19,2.2,77,25,0.71,1,0.14,10.9956304,15
"97","Seth Reeves",22311810,6400,47.75,0.0024,0.0032,100,8e-04,0.3333,46.61,1.7,73,23.5,0.5,1,-0.01,12.7033889,15
"98","Brandon Hagy",22311811,6400,42.19,0.0057,0.0045,79,-0.0012,-0.2105,44.6,2.8,70.5,22.5,0.7,1,0.19,8.1856025,10
"99","Max McGreevy",22311812,6400,48.75,0.0024,0.0033,98,9e-04,0.375,45.08,1.9,70.5,22.5,0.52,1,0.01,13.21375,15
"100","Jason Dufner",22311813,6400,40.89,0.0016,0.0017,124,9.99999999999998e-05,0.0625,49.49,1.1,73.5,23.5,0.27,1,-0.24,10.0590625,10
"101","Richy Werenski",22311814,6400,42.43,0.0032,0.0066,60,0.0034,1.0625,44.5,3.5,70.5,22.43,1.03,1,0.52,28.4790625,30
"102","Fabian Gomez",22311815,6400,47.18,0.0012,0.0036,92,0.0024,2,31.29,0.9,56.5,18,0.56,1,0.05,54.8375,55
"103","Scott Brown",22311816,6400,57.11,0.0032,0.0036,92,4e-04,0.125,51.83,4.3,75.5,24.43,0.56,1,0.05,10.99375,15
"104","Joshua Creel",22311817,6400,37.77,0.0012,7e-04,135,-5e-04,-0.4167,38.72,0.09,65.5,21,0.11,1,-0.4,10.4363889,10
"105","Michael Gligic",22311818,6400,46.29,0.0018,0.001,132,-8e-04,-0.4444,36.35,0.32,62.5,20,0.16,1,-0.35,10.1124136,10
"106","Tommy Gainey",22311819,6300,40.89,1e-04,0.0028,106,0.0027,27,30.89,0.07,55,18.5,0.44,1,0,7305.4,7305
"107","Ryan Blaum",22311820,6300,61.8,0.0015,0.0013,128,-2e-04,-0.1333,39.83,0.23,67,21,0.21,1,-0.23,9.6051889,10
"108","Bryson Nimmer",22311821,6300,52.38,0.0015,0.0022,116,7e-04,0.4667,41.05,0.87,67,21.5,0.35,1,-0.09,13.5105889,15
"109","David Skinns",22311822,6300,45.42,0.0025,0.0043,82,0.0018,0.72,36.75,0.3,63.58,20,0.68,1,0.24,18.964,20
"110","Seung-Yul Noh",22311823,6300,49.38,0.0033,0.0042,84,9e-04,0.2727,35.85,1.7,62,20,0.67,1,0.23,12.7161529,15
"111","David Hearn",22311824,6300,46.55,3e-04,0.0016,125,0.0013,4.3333,40.49,0.05,66.5,21,0.25,1,-0.19,200.2323889,200
"112","Alvaro Ortiz",22311825,6300,41.92,3e-04,8e-04,134,5e-04,1.6667,29.06,0.47,50,17.5,0.13,1,-0.31,38.5463889,40
"113","Martin Trainer",22311826,6300,41.47,0.0014,0.0031,102,0.0017,1.2143,31.2,0.28,55,18.5,0.49,1,0.05,28.1827449,30
"114","Turk Pettit",22311827,6300,34.62,0.0017,0.0033,98,0.0016,0.9412,38.48,0.03,65,21,0.52,1,0.08,22.1185744,20
"115","Armando Favela",22311828,6200,0,1e-04,0.0025,109,0.0024,24,18.18,0.41,23.5,11.5,0.4,1,0.02,5774.815,5775
"116","Bo Van Pelt",22311829,6200,34.62,0.0011,9e-04,133,-2e-04,-0.1818,45.33,0.08,71.5,22.5,0.15,1,-0.23,9.7580124,10
"117","David Lingmerth",22311830,6200,50.75,0.0016,0.0032,100,0.0016,1,46.27,1.1,71,23,0.52,1,0.14,23.305,25
"118","Jonathan Byrd",22311831,6200,51.7,0.0032,0.0042,84,0.001,0.3125,45.71,0.83,71,22.5,0.68,1,0.3,13.2015625,15
"119","Roberto Diaz",22311832,6200,50.56,0.0036,0.002,119,-0.0016,-0.4444,18.2,0.82,23.5,11.5,0.32,1,-0.06,8.7299136,10
"120","Brett Drewitt",22311833,6200,49.34,0.0011,0.003,104,0.0019,1.7273,46.13,0.1,71.5,23,0.48,1,0.1,43.7106529,45
"121","Jared Wolfe",22311834,6200,45.11,0.0029,0.0041,86,0.0012,0.4138,44.25,0.55,69.5,22.5,0.66,1,0.28,14.3223044,15
"122","Johnson Wagner",22311835,6200,67.75,6e-04,0.0027,108,0.0021,3.5,40.65,0.46,66.5,21.5,0.44,1,0.06,136.745,135
