"","event_name","player_name","salary","ownership","streak_pts","bogey_free_pts","hole_in_one_pts","sub_70_pts","hole_score_pts","finish_pts","total_pts","open_odds","close_odds","odds_delta","odds_delta_per","date","make_cut","top_20","top_10","top_5","top_3","win","dg_id","round_score","sg_putt","sg_arg","sg_app","sg_ott","sg_t2g","sg_total","driving_dist","driving_acc","gir","scrambling","prox_rgh","prox_fw"
"147","The American Express","Mahan, Hunter",6100,6e-04,3,0,0,0,35.5,0,38.5,NA,NA,NA,NA,"Jan 19, 2020",0.25495,0.030125,0.01045,0.004025,0.001925,4e-04,7636,75.3333333333333,-0.715,0.47,-1.354,0.253,-0.631,-5.662,272.9,0.571,0.722,NA,44.185,39.132
"148","The American Express","Wilson, Mark",6000,2e-04,0,0,0,0,38.5,0,38.5,NA,NA,NA,NA,"Jan 19, 2020",0.135825,0.007825,0.002175,0.000725,3e-04,0,4107,72.3333333333333,-0.34,1.789,-4.518,-0.931,-3.66,-2.83333333333333,259.7,0.714,0.5,NA,51.604,31.166
"149","The American Express","Gibson, Rhein",6100,0.0023,0,0,0,0,38,0,38,NA,NA,NA,NA,"Jan 19, 2020",0.321725,0.04855,0.0178,0.006525,0.00315,0.001,13342,73.6666666666667,0.947,0.848,0.277,-3.072,-1.947,-4.16666666666667,279.2,0.286,0.611,NA,44.464,35.108
"150","The American Express","Barnes, Ricky",6100,0.01,0,0,0,0,38,0,38,NA,NA,NA,NA,"Jan 19, 2020",0.219025,0.022025,0.0074,0.00275,0.0014,0.000425,6846,72.3333333333333,2.34,-0.948,0.354,-1.092,-1.686,-2.662,266.6,0.357,0.667,NA,45.262,36.155
"151","The American Express","Brown, Scott",6200,0.0019,0,0,0,0,37.5,0,37.5,NA,NA,NA,NA,"Jan 19, 2020",0.434975,0.094275,0.04125,0.01845,0.010225,0.002775,11330,74.3333333333333,1.333,0.91,-3.93,-0.313,-3.333,-4.83333333333333,273.8,0.571,0.5,NA,32.449,36.397
"152","The American Express","Trainer, Martin",6000,2e-04,0,0,0,0,29.5,0,29.5,NA,NA,NA,NA,"Jan 19, 2020",0.0834,0.0037,7e-04,2e-04,7.5e-05,5e-05,15634,76.6666666666667,-1.389,-0.974,-4.391,-0.873,-6.238,-7.089,296.4,0.286,0.389,NA,50.276,47.944
"153","The American Express","Smock, Brian",6100,2e-04,0,0,0,0,28,0,28,NA,NA,NA,NA,"Jan 19, 2020",0.052225,0.00175,3e-04,7.5e-05,2.5e-05,0,7762,74.6666666666667,-1.752,0.683,-0.492,-3.785,-3.594,-4.99533333333333,271,0.5,0.5,NA,30.26,31.882
"154","The American Express","Crane, Ben",6100,0.001,0,0,0,0,13,0,13,NA,NA,NA,NA,"Jan 19, 2020",0.35565,0.057475,0.02285,0.00905,0.0047,0.001125,6674,71,0.622,0.595,-1.724,0.161,-0.968,-0.346,264.2,0.786,0.556,0.909,60.758,31.666
"155","The American Express","Lashley, Nate",7200,0.0347,0,0,0,0,9,0,9,0.0101,0.0101,0,0,"Jan 19, 2020",0.537125,0.1473,0.06935,0.033025,0.019025,0.0056,10943,77,-2.211,0.629,-1.821,-2.943,-4.135,-6.346,268.3,0.643,0.389,0.5,21.291,26.343
"156","The American Express","Kim, Si Woo",7000,0.0215,0,0,0,0,3,0,3,0.0073,0.0073,0,0,"Jan 19, 2020",0.5051,0.1348,0.065075,0.030525,0.017525,0.005075,14609,87,NA,NA,NA,NA,NA,-17.365,NA,NA,NA,NA,NA,NA
